Season,TeamID,RestDays,TravelDist_km
1985,1104,5,
1985,1112,5,
1985,1116,4,
1985,1120,5,
1985,1130,7,
1985,1173,5,
1985,1177,5,
1985,1181,5,
1985,1192,10,
1985,1207,5,
1985,1208,6,
1985,1210,4,
1985,1228,5,
1985,1229,9,
1985,1233,11,
1985,1234,5,
1985,1235,7,
1985,1242,8,
1985,1246,7,
1985,1250,10,
1985,1256,7,
1985,1260,5,
1985,1261,7,
1985,1267,11,
1985,1268,6,
1985,1272,5,
1985,1273,10,
1985,1275,7,
1985,1276,4,
1985,1277,5,
1985,1292,11,
1985,1298,5,
1985,1299,5,
1985,1301,5,
1985,1305,7,
1985,1314,4,
1985,1318,8,
1985,1323,5,
1985,1325,7,
1985,1326,5,
1985,1328,6,
1985,1330,11,
1985,1333,5,
1985,1335,5,
1985,1337,12,
1985,1338,7,
1985,1345,5,
1985,1361,7,
1985,1374,5,
1985,1380,5,
1985,1385,5,
1985,1393,6,
1985,1396,5,
1985,1403,4,
1985,1409,7,
1985,1412,12,
1985,1424,7,
1985,1425,5,
1985,1431,7,
1985,1433,11,
1985,1437,6,
1985,1439,7,
1985,1449,5,
1985,1455,7,
1986,1103,8,
1986,1104,5,
1986,1112,4,
1986,1114,10,
1986,1120,7,
1986,1123,5,
1986,1133,7,
1986,1135,12,
1986,1156,5,
1986,1172,11,
1986,1177,5,
1986,1180,10,
1986,1181,4,
1986,1193,12,
1986,1207,6,
1986,1210,4,
1986,1228,5,
1986,1231,5,
1986,1234,5,
1986,1235,5,
1986,1239,12,
1986,1242,5,
1986,1246,5,
1986,1257,5,
1986,1261,6,
1986,1265,7,
1986,1268,5,
1986,1272,5,
1986,1275,5,
1986,1276,5,
1986,1277,5,
1986,1281,6,
1986,1286,4,
1986,1290,4,
1986,1298,10,
1986,1299,5,
1986,1301,6,
1986,1304,6,
1986,1314,6,
1986,1318,6,
1986,1323,5,
1986,1328,6,
1986,1330,13,
1986,1337,8,
1986,1345,5,
1986,1350,11,
1986,1385,5,
1986,1386,10,
1986,1393,5,
1986,1396,12,
1986,1403,4,
1986,1409,7,
1986,1412,12,
1986,1419,7,
1986,1424,5,
1986,1428,7,
1986,1431,5,
1986,1437,6,
1986,1438,5,
1986,1439,7,
1986,1443,13,
1986,1449,5,
1986,1452,10,
1986,1462,12,
1987,1104,4,
1987,1112,6,
1987,1120,5,
1987,1122,5,
1987,1137,4,
1987,1140,5,
1987,1141,5,
1987,1155,6,
1987,1177,5,
1987,1181,6,
1987,1193,10,
1987,1196,6,
1987,1204,5,
1987,1207,4,
1987,1208,5,
1987,1210,6,
1987,1222,6,
1987,1226,5,
1987,1228,5,
1987,1231,5,
1987,1234,4,
1987,1242,4,
1987,1243,5,
1987,1246,6,
1987,1256,7,
1987,1261,4,
1987,1265,7,
1987,1267,5,
1987,1276,5,
1987,1281,4,
1987,1283,5,
1987,1292,6,
1987,1298,10,
1987,1299,5,
1987,1301,4,
1987,1309,12,
1987,1314,4,
1987,1318,5,
1987,1323,5,
1987,1326,5,
1987,1328,5,
1987,1335,12,
1987,1338,5,
1987,1344,5,
1987,1345,5,
1987,1360,11,
1987,1365,10,
1987,1380,6,
1987,1385,6,
1987,1393,4,
1987,1395,7,
1987,1396,7,
1987,1401,5,
1987,1409,8,
1987,1412,12,
1987,1417,4,
1987,1424,5,
1987,1431,5,
1987,1438,5,
1987,1443,9,
1987,1452,7,
1987,1455,10,
1987,1461,4,
1987,1462,12,
1988,1112,4,
1988,1116,5,
1988,1120,6,
1988,1124,4,
1988,1129,7,
1988,1131,6,
1988,1133,10,
1988,1140,6,
1988,1150,10,
1988,1151,11,
1988,1165,12,
1988,1177,5,
1988,1181,4,
1988,1185,7,
1988,1192,8,
1988,1196,5,
1988,1199,5,
1988,1207,6,
1988,1210,6,
1988,1228,5,
1988,1231,5,
1988,1234,5,
1988,1235,6,
1988,1242,5,
1988,1243,4,
1988,1246,4,
1988,1247,12,
1988,1250,10,
1988,1257,4,
1988,1258,10,
1988,1261,5,
1988,1268,5,
1988,1272,4,
1988,1276,5,
1988,1281,5,
1988,1283,12,
1988,1293,8,
1988,1299,12,
1988,1301,5,
1988,1314,4,
1988,1317,7,
1988,1323,5,
1988,1328,4,
1988,1333,4,
1988,1338,5,
1988,1345,5,
1988,1348,7,
1988,1350,10,
1988,1364,5,
1988,1371,5,
1988,1374,4,
1988,1380,5,
1988,1385,6,
1988,1393,4,
1988,1396,7,
1988,1424,5,
1988,1427,5,
1988,1429,4,
1988,1431,5,
1988,1435,6,
1988,1437,4,
1988,1455,11,
1988,1461,5,
1988,1462,5,
1989,1104,4,
1989,1112,4,
1989,1114,7,
1989,1116,4,
1989,1123,4,
1989,1137,10,
1989,1155,6,
1989,1161,5,
1989,1166,9,
1989,1177,5,
1989,1181,4,
1989,1190,11,
1989,1191,5,
1989,1196,4,
1989,1199,5,
1989,1206,10,
1989,1207,4,
1989,1210,6,
1989,1225,5,
1989,1228,5,
1989,1231,5,
1989,1234,5,
1989,1235,5,
1989,1243,5,
1989,1247,12,
1989,1256,11,
1989,1257,5,
1989,1258,10,
1989,1261,6,
1989,1270,10,
1989,1272,6,
1989,1276,5,
1989,1278,5,
1989,1281,4,
1989,1283,8,
1989,1292,7,
1989,1301,6,
1989,1314,4,
1989,1323,5,
1989,1328,4,
1989,1333,5,
1989,1338,5,
1989,1343,12,
1989,1344,6,
1989,1352,13,
1989,1353,9,
1989,1354,11,
1989,1371,5,
1989,1373,5,
1989,1375,10,
1989,1376,6,
1989,1380,5,
1989,1388,11,
1989,1390,4,
1989,1393,4,
1989,1397,5,
1989,1400,4,
1989,1417,5,
1989,1424,5,
1989,1431,5,
1989,1435,5,
1989,1438,5,
1989,1452,10,
1989,1462,5,
1990,1104,4,
1990,1112,4,
1990,1114,7,
1990,1116,4,
1990,1123,4,
1990,1131,7,
1990,1140,7,
1990,1143,6,
1990,1155,5,
1990,1161,7,
1990,1163,4,
1990,1164,12,
1990,1173,5,
1990,1181,5,
1990,1190,11,
1990,1207,5,
1990,1208,6,
1990,1210,4,
1990,1222,4,
1990,1225,5,
1990,1228,5,
1990,1229,10,
1990,1231,5,
1990,1242,5,
1990,1243,6,
1990,1247,10,
1990,1257,5,
1990,1258,12,
1990,1261,6,
1990,1276,4,
1990,1277,4,
1990,1278,5,
1990,1281,6,
1990,1283,9,
1990,1293,10,
1990,1308,6,
1990,1314,6,
1990,1320,8,
1990,1323,5,
1990,1326,5,
1990,1328,4,
1990,1333,6,
1990,1343,12,
1990,1344,6,
1990,1345,4,
1990,1350,10,
1990,1352,14,
1990,1364,7,
